team,season,batting_WAR,pitching_WAR,total_WAR
FTW,1871,-1.1,1.9,0.8
CLE,1871,1.0,1.5,2.5
NYM,1871,5.0,2.2,7.2
WSO,1871,3.2,0.1,3.3
CHI,1871,-0.5,2.7,2.2
BSN,1871,6.2,3.0,9.2
- - -,1872,3.9,3.3,7.2
BAL,1872,5.8,3.7,9.5
CLE,1872,1.0,0.9,1.9
NYM,1872,8.8,3.8,12.6
BSN,1872,15.6,4.2,19.8
MID,1872,0.6,1.7,2.3
BKA,1872,1.6,5.3,6.9
WSN,1872,-1.8,1.4,-0.4
WSN,1873,-0.7,3.2,2.5
BSN,1873,14.5,6.2,20.7
PWS,1873,1.5,5.4,6.9
NYM,1873,4.4,4.0,8.4
ELI,1873,-1.8,0.2,-1.6
BAL,1873,10.7,4.6,15.3
BKA,1873,4.9,2.5,7.4
HAR,1874,1.7,2.0,3.7
PWS,1874,3.6,5.1,8.7
CHI,1874,4.1,5.9,10.0
NYM,1874,3.7,4.5,8.2
BSN,1874,19.6,6.7,26.3
BKA,1874,3.8,2.0,5.8
BAL,1874,-0.3,1.7,1.4
HAR,1875,5.6,9.6,15.2
- - -,1875,-1.8,9.1,7.3
STL,1875,10.9,2.7,13.6
SLR,1875,-1.4,1.3,-0.1
NYM,1875,3.7,4.9,8.6
PHN,1875,14.5,1.3,15.8
NHE,1875,0.2,2.6,2.8
WSO,1875,-1.2,1.8,0.6
BKA,1875,-0.9,0.7,-0.2
BSN,1875,28.8,7.4,36.2
PWS,1875,1.6,1.0,2.6
CHI,1875,7.6,2.8,10.4
PHN,1876,0.8,5.8,6.6
STL,1876,11.5,3.5,15.0
LOU,1876,5.2,10.4,15.6
HAR,1876,3.0,9.0,12.0
CIN,1876,-2.4,1.9,-0.5
CHI,1876,23.8,6.7,30.5
BSN,1876,10.1,3.4,13.5
NYM,1876,-0.4,3.3,2.9
CIN,1877,-0.6,3.1,2.5
CHI,1877,6.5,5.8,12.3
BSN,1877,10.8,7.1,17.9
LOU,1877,6.3,9.5,15.8
HAR,1877,5.7,0.1,5.8
STL,1877,4.1,2.6,6.7
CIN,1878,11.8,5.2,17.0
BSN,1878,1.9,6.0,7.9
CHI,1878,8.8,0.6,9.4
IND,1878,2.4,2.4,4.8
MIL,1878,0.6,7.1,7.7
PRO,1878,6.2,3.8,10.0
CIN,1879,14.1,4.8,18.9
CLE,1879,-1.1,6.3,5.2
BUF,1879,11.2,8.8,20.0
CHI,1879,11.6,2.8,14.4
PRO,1879,20.7,8.5,29.2
SYR,1879,-2.8,3.3,0.5
BSN,1879,16.2,7.7,23.9
- - -,1879,-1.3,0.9,-0.4
TRO,1879,0.8,6.5,7.3
- - -,1880,-1.5,-0.1,-1.6
CHI,1880,21.8,9.7,31.5
CLE,1880,8.7,7.0,15.7
TRO,1880,9.3,6.1,15.4
PRO,1880,17.5,8.1,25.6
WOR,1880,9.1,8.5,17.6
CIN,1880,0.0,6.1,6.1
BSN,1880,9.0,5.6,14.6
BUF,1880,-0.1,6.3,6.2
PRO,1881,10.8,6.5,17.3
CLE,1881,9.2,6.2,15.4
TRO,1881,8.0,7.5,15.5
BUF,1881,8.7,8.2,16.9
DET,1881,10.9,7.5,18.4
WOR,1881,3.2,7.3,10.5
- - -,1881,-1.5,0.4,-1.1
BSN,1881,6.6,5.6,12.2
CHI,1881,22.3,7.9,30.2
CHI,1882,21.0,9.9,30.9
PHA,1882,5.8,5.4,11.2
CIN,1882,17.0,6.0,23.0
LOU,1882,12.5,6.6,19.1
TRO,1882,7.8,3.7,11.5
DET,1882,5.0,8.3,13.3
BAL,1882,0.1,1.0,1.1
WOR,1882,-2.1,4.3,2.2
BUF,1882,15.7,6.0,21.7
STL,1882,6.6,7.1,13.7
PRO,1882,14.1,7.4,21.5
BSN,1882,11.7,9.8,21.5
PIT,1882,9.8,7.8,17.6
- - -,1882,-2.5,4.2,1.7
CLE,1882,9.4,4.7,14.1
BUF,1883,13.2,10.9,24.1
CHI,1883,13.9,10.2,24.1
STL,1883,14.3,10.9,25.2
COL,1883,9.1,2.5,11.6
CIN,1883,22.1,6.4,28.5
PHA,1883,6.7,9.4,16.1
PHI,1883,-3.6,4.7,1.1
NYG,1883,12.1,6.2,18.3
BAL,1883,6.6,3.0,9.6
LOU,1883,8.9,9.3,18.2
NYM,1883,6.5,14.6,21.1
PIT,1883,6.8,4.1,10.9
PRO,1883,21.5,8.6,30.1
DET,1883,6.6,4.7,11.3
CLE,1883,11.8,4.6,16.4
- - -,1883,-1.5,6.6,5.1
BSN,1883,13.5,12.9,26.4
WSN,1884,-2.3,-0.3,-2.6
BAL,1884,15.7,12.1,27.8
BRO,1884,1.2,8.2,9.4
WIL,1884,-0.1,1.2,1.1
NYM,1884,17.9,13.8,31.7
BSU,1884,11.8,0.0,11.8
PHA,1884,10.8,7.8,18.6
PHI,1884,3.7,5.4,9.1
NYG,1884,16.1,7.6,23.7
PHK,1884,-1.0,0.5,-0.5
MIL,1884,-8.7,3.9,-4.8
LOU,1884,21.9,11.7,33.6
PIT,1884,1.9,1.3,3.2
KCC,1884,0.5,2.3,2.8
IND,1884,4.9,6.2,11.1
PRO,1884,21.5,9.7,31.2
BSN,1884,18.0,16.5,34.5
DET,1884,-0.8,6.3,5.5
COR,1884,14.3,6.7,21.0
COL,1884,23.9,7.6,31.5
CLE,1884,0.3,4.1,4.4
RIC,1884,2.5,1.6,4.1
SPS,1884,0.2,-0.2,0.0
CIN,1884,18.3,4.7,23.0
CHI,1884,30.0,6.6,36.6
STL,1884,39.3,9.7,49.0
TOL,1884,8.9,11.3,20.2
BUF,1884,16.4,11.0,27.4
CUN,1884,3.0,0.1,3.1
ALT,1884,-0.4,0.0,-0.4
WST,1884,5.4,7.1,12.5
- - -,1884,38.0,40.9,78.9
BSN,1885,5.7,10.8,16.5
CHI,1885,26.6,11.0,37.6
PRO,1885,9.3,7.8,17.1
