IDfg,Name,Team,rookie_season,final_season,years_played,G,GS,IP,W,L,SV,ShO,CG,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GB,FB,LD,IFFB,Pitches,Balls,Strikes,RS,Barrels,HardHit,Events,WAR,RAR,W/L,ERA,AVG,OBP,WHIP,FIP,K/9,BB/9,K/BB,LOB%,GB%,FB%,LD%,GB/FB,LD/FB,GB/LD,IFFB%,Barrel%,HardHit%,Barrel/PA,HardHit/PA
11387,A.J. Achter,MIN,2014,2016,3,45,0,61.300000000000004,2,1,0,0,0,0.0,267.0,69,30,27,13.0,21,2.0,1.0,0.0,0.0,33,81.0,88.0,42.0,9.0,965.0,358.0,607.0,24.0,18.0,49.0,171,-0.7000000000000001,-7.3,2.0,3.96,0.258,0.341,1.47,7.16,4.85,3.08,1.57,0.838,0.384,0.417,0.199,0.92,0.477,1.929,0.102,0.105,0.287,0.019,0.051
22343,A.J. Alexy,TEX,2021,2022,2,9,4,30.0,4,2,0,0,0,0.0,135.0,23,21,21,5.0,26,0.0,1.0,1.0,0.0,23,25.0,35.0,23.0,5.0,576.0,252.0,324.0,17.0,7.0,31.0,85,-0.2,-2.5,2.0,6.3,0.17,0.37,1.63,13.43,6.9,7.8,0.88,0.674,0.301,0.422,0.277,0.714,0.657,1.087,0.143,0.082,0.365,0.012,0.054
512,A.J. Burnett,FLA,1999,2015,17,435,430,2727.6,164,157,0,10,24,1.0,11665.0,2519,1328,1210,263.0,1100,35.0,143.0,161.0,6.0,2513,3475.0,2075.0,1313.0,192.0,39097.0,14906.0,24191.0,1256.0,20.0,194.0,496,42.4,407.1,1.04,3.99,0.216,0.323,1.33,6.95,8.29,3.63,2.28,0.717,0.506,0.302,0.191,1.675,0.633,2.647,0.093,0.04,0.391,0.001,0.005
11467,A.J. Cole,WSN,2015,2021,7,109,19,204.4,14,10,4,0,0,5.0,905.0,213,122,103,39.0,82,5.0,5.0,9.0,1.0,208,209.0,281.0,108.0,29.0,3630.0,1325.0,2305.0,72.0,43.0,195.0,610,0.5,5.5,1.4,4.54,0.235,0.331,1.44,6.93,9.16,3.61,2.54,0.725,0.349,0.47,0.181,0.744,0.384,1.935,0.103,0.07,0.32,0.012,0.054
11132,A.J. Griffin,OAK,2012,2017,4,88,85,478.2,34,21,0,2,2,0.0,2006.0,437,240,231,94.0,147,3.0,18.0,9.0,1.0,403,451.0,693.0,278.0,102.0,8018.0,2894.0,5124.0,310.0,49.0,212.0,592,3.1999999999999997,30.7,1.62,4.35,0.218,0.3,1.22,6.11,7.58,2.77,2.74,0.77,0.317,0.487,0.195,0.651,0.401,1.622,0.147,0.083,0.358,0.006,0.026
16266,A.J. Ladwig,MIA,2022,2022,1,1,0,3.1,0,0,0,0,0,0.0,15.0,6,4,4,2.0,0,0.0,0.0,0.0,0.0,0,7.0,4.0,4.0,1.0,41.0,12.0,29.0,2.0,3.0,9.0,15,-0.2,-2.1,0.0,11.61,0.4,0.4,1.94,5.04,0.0,0.0,0.0,0.625,0.467,0.267,0.267,1.75,1.0,1.75,0.25,0.2,0.6,0.073,0.22
18655,A.J. Minter,ATL,2017,2024,8,384,0,346.8,24,29,36,0,0,20.0,1438.0,294,140,127,27.0,123,11.0,8.0,15.0,3.0,422,346.0,337.0,185.0,37.0,5853.0,2011.0,3842.0,170.0,49.0,302.0,885,6.9,67.89999999999999,0.83,3.3,0.204,0.296,1.2,5.58,10.95,3.19,3.43,0.736,0.399,0.388,0.213,1.027,0.549,1.87,0.11,0.055,0.341,0.008,0.052
9919,A.J. Morris,CIN,2016,2016,1,7,0,10.0,0,0,0,0,0,0.0,47.0,9,7,7,2.0,8,0.0,0.0,0.0,0.0,9,12.0,11.0,7.0,0.0,192.0,75.0,117.0,6.0,1.0,12.0,30,-0.1,-1.5,0.0,6.3,0.191,0.362,1.7,12.3,8.1,7.2,1.12,0.704,0.4,0.367,0.233,1.091,0.636,1.714,0.0,0.033,0.4,0.005,0.062
3422,A.J. Murray,TEX,2007,2008,2,16,4,35.2,2,2,0,0,0,0.0,161.0,37,19,17,6.0,18,1.0,0.0,0.0,0.0,23,44.0,56.0,18.0,7.0,618.0,251.0,367.0,23.0,0.0,0.0,0,0.0,0.0,1.0,4.35,0.23,0.342,1.56,8.95,5.88,4.6,1.28,0.773,0.373,0.475,0.153,0.786,0.321,2.444,0.125,0.0,0.0,0.0,0.0
19343,A.J. Puk,OAK,2019,2024,5,204,4,217.6,17,20,22,0,0,19.0,929.0,186,100,86,24.0,75,7.0,15.0,13.0,2.0,271,237.0,212.0,109.0,28.0,3641.0,1228.0,2413.0,106.0,35.0,194.0,568,3.2,31.700000000000003,0.85,3.56,0.2,0.297,1.2,5.63,11.21,3.1,3.61,0.726,0.425,0.38,0.195,1.118,0.514,2.174,0.132,0.062,0.342,0.01,0.053
16246,A.J. Reed,CHW,2019,2019,1,1,0,1.0,0,0,0,0,0,0.0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.333,0.667,0.0,0.5,0.0,inf,0.0,0.0,0.0,0.0,0.0
1011369,A.J. Sager,DET,1994,1998,5,123,16,282.5,12,15,5,0,0,0.0,1258.0,332,186,169,32.0,99,18.0,6.0,5.0,0.0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4,24.8,0.8,5.38,0.264,0.347,1.53,6.9,5.22,3.15,1.66,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11432,A.J. Schugel,PIT,2015,2017,3,73,0,93.0,6,2,1,0,0,2.0,391.0,89,43,33,9.0,32,4.0,1.0,4.0,0.0,78,135.0,83.0,60.0,5.0,1504.0,531.0,973.0,49.0,16.0,116.0,280,0.6,5.7,3.0,3.19,0.228,0.312,1.3,6.22,7.55,3.1,2.44,0.722,0.486,0.299,0.216,1.627,0.723,2.25,0.06,0.057,0.414,0.011,0.077
