team,abbrev,primary_color,secondary_color
Arizona Diamondbacks,ARI, #a71930,#3fc2cc
Atlanta Braves,ATL, #13274f, #ce1141
Baltimore Orioles,BAL, #df4601, #000000
Boston Red Sox,BOS, #bd3039, #192c55
Chicago Cubs,CHC, #0e3386, #cc3433
Chicago White Sox,CHW, #000000, #c4ced4
Cincinnati Reds,CIN, #c6011f, #000000
Cleveland Guardians,CLE, #00385d, #e50022
Colorado Rockies,COL, #33006f, #0F0708
Detroit Tigers,DET, #182d55, #f27622
Houston Astros,HOU, #002d62, #f4911e
Kansas City Royals,KCR, #7bb2dd, #c0995a
Los Angeles Angels,LAA, #ba0021, #c4ced4
Los Angeles Dodgers,LAD, #005a9c, #ef3e42
Miami Marlins,MIA, #0077c8, #000000  
Milwaukee Brewers,MIL, #0a2351, #b6922e
Minnesota Twins,MIN, #002b5c, #d31145
New York Mets,NYM, #ff6600, #002D72
New York Yankees,NYY, #192c55, #C4CED3
Oakland Athletics,OAK, #003831, #EFB21E
Philadelphia Phillies,PHI, #e81828, #002D72
Pittsburgh Pirates,PIT, #fdb827, #27251f
San Diego Padres,SDP, #2f241d, #FFC425
San Francisco Giants,SFG, #fd5a1e, #000000
Seattle Mariners,SEA, #0c2c56, #005c5c
St. Louis Cardinals,STL, #c41e3a, #0C2340
Tampa Bay Rays,TBR, #092c5c, #8FBCE6
Texas Rangers,TEX, #003278, #C0111F
Toronto Blue Jays,TOR, #134a8e, #E8291C
Washington Nationals,WSN, #ab0003, #14225a
New York Giants,NYG, #fd5a1e, #000000
St. Louis Browns,SLB, #4E3629, #C6AA76
Boston Braves,BSN, #13274f, #ce1141
Homestead Grays,HG, #A7A8A9, #3F4443
Buffalo Bisons,BUF, #B8860B, #000000
Indianapolis ABCs,ABC, #F2EBE2,  #BF0A30
Indianapolis ABCs,AB2, #F2EBE2,  #BF0A30
Indianapolis ABCs,ID, #F2EBE2,  #BF0A30
Atlantic City Bacharach Giants,AC, #E4B841,  #2F4F77
Akron Black Tyrites,AG, #000000,  #ffffff7d
Altoona Mountain Citys,ALT, #800080, #F2EBE2
Anaheim Angels,ANA, #BA0021, #C4CED4
Birmingham Barons,BIR, #000000, #FF0000
Baltimore Black Sox,BBS, #000000, #FF6600
Atlanta Black Crackers,BCA, #000000, #2E3192
Brooklyn Eagles,BE, #000000, #FF6600
Baltimore Elite Giants,BEG, #000080, #FF2400
Brooklyn Athletics,BKA, #808080, #FF0000
Brooklyn Royal Giants, BRG,#4169E1, #FFFDD0
Brooklyn Dodgers,BRO, #005A9C, #9B2743
Chicago American Giants,CAG, #C60C30, #0B2265
MLB Player,MLB, #000089, #CD0001
California Angels,CAL, #BA0021, #C4CED4
Troy Haymakers,TRO, #002F6C, #006B3C
Philadelphia Athletics,PHN, #002F6C, #F2EBE2
New York Mutuals,NYU, #006B3C, #F2EBE2
Rochester Broncos,ROC, #5C3A21, #2B1B10
Chicago White Stockings,CHI, #002F6C, #F2EBE2
Washington Olympics,WSO, #002F6C, #F2EBE2
Fort Wayne Kekiongas,FTW, #002F6C, #CD0001



